Centre_Title_x,Centre_Address,Eircode,Latitude,Longitude,County_x,Maximum_Occupancy,Centre_Phone,Processed_CT,Processed_County,Centre_Title_y,County_y,Cost of Care
Blackrock Abbey Nursing Home,"Cockle Hill, Blackrock, Dundalk, A91 RP76",A91RP76,53.9582828,-6.3779759,Louth,64,042 932 1258,blackrock abbey nursing home,louth,Blackrock Abbey Nursing Home,Co. Louth,1170
Blackrocks Nursing Home,"The Green Road, Foxford, F26 WE00",F26WE00,53.987987,-9.1135836,Mayo,48,094 925 7555,blackrocks nursing home,mayo,Blackrocks Nursing Home,Co. Mayo,1127
Blair's Hill Nursing Home,"Blair's Hill, Sunday's Well, T23 NY65",T23NY65,51.9004108,-8.4906977,Cork,37,021 430 4229,blairs hill nursing home,k,Blair's Hill Nursing Home,Co. Cork,1145
Blake Manor Nursing Home,"Ballinderreen, Kilcolgan, H91 F510",H91F510,53.1740558,-8.902112899999999,Galway,39,091 796 188,blake manor nursing home,galway,Blake Manor Nursing Home,Co. Galway,1124
Blarney Nursing and Retirement Home,"Killowen, Blarney, T23 X084",T23X084,51.9409939,-8.5899428,Cork,20,021 438 1631,blarney nursing and retirement home,k,Blarney Nursing and Retirement Home,Co. Cork,1130
Borris Lodge Nursing Home,"Main Street, Borris, R95 X060",R95X060,52.6031564,-6.9292839,Carlow,52,059 977 3112,borris lodge nursing home,carlow,Borris Lodge Nursing Home,Co. Carlow,1147
Brabazon House,"2 Gilford Road, Sandymount, D04 TN93",D04TN93,53.3283498,-6.2104931,Dublin,51,01 269 1677,brabazon house,dublin,Brabazon House,Co. Dublin,1245
Bramleigh Lodge Nursing Home,"Cashel Road, Cahir, E21 AY88",E21AY88,52.378946,-7.922911800000001,Tipperary,26,052 744 2129,bramleigh lodge nursing home,tipperary,Bramleigh Lodge Nursing Home,Co. Tipperary,1110
Brampton Care & Rehabilitation Centre,"Main Street, Oranmore, H91 AR23",H91AR23,53.2681559,-8.9309934,Galway,94,091 483 290,brampton care  rehabilitation centre,galway,Brampton Care & Rehabilitation Centre,Co. Galway,1115
Brentwood Manor Private Nursing Home,"Letterkenny Road, Convoy, F93 PK11",F93PK11,54.8629392,-7.662624900000001,Donegal,56,074 914 7700,brentwood manor private nursing home,donegal,Brentwood Manor Private Nursing Home,Co. Donegal,1130
Bridhaven Nursing Home,"Spa Glen, Mallow, P51 WK80",P51WK80,52.1445368,-8.642026099999999,Cork,182,022 222 05,bridhaven nursing home,k,Bridhaven Nursing Home,Co. Cork,1221
Brindley Manor Private Nursing Home,"Letterkenny Road, Convoy, F93 ND80",F93ND80,54.8632205,-7.664534799999999,Donegal,42,074 914 7000,brindley manor private nursing home,donegal,Brindley Manor Private Nursing Home,Co. Donegal,1090
Brookfield Care Centre,"Leamlara, T56 YX21",T56YX21,51.965395,-8.2644928,Cork,63,021 464 2112,brookfield care centre,k,Brookfield Care Centre,Co. Cork,1195
Brookhaven Nursing Home,"Donoughmore, Ballyraggett, R95 YP63",R95YP63,52.7818069,-7.330361,Kilkenny,71,056 883 0777,brookhaven nursing home,kilkenny,Brookhaven Nursing Home,Co. Kilkenny,1160
Brooklodge Nursing Home,"Ballyglunin, Tuam, H54 W950",H54W950,53.4292634,-8.7960046,Galway,45,093 32 944,brooklodge nursing home,galway,Brooklodge Nursing Home,Co. Galway,1100
