Centre_Title_x,Centre_Address,Eircode,Latitude,Longitude,County_x,Maximum_Occupancy,Centre_Phone,Processed_CT,Processed_County,Centre_Title_y,County_y,Cost of Care
Firstcare Beneavin House,"Beneavin House, Beneavin Road, Glasnevin, D11 F576",D11F576,53.3888656,-6.2853265,Dublin,150,01 864 8516,firstcare beneavin house,dublin,Firstcare Beneavin House,Co. Dublin,1379
Firstcare Beneavin Lodge,"Beneavin Road, Glasnevin, D11 HA25",D11HA25,53.3887845,-6.2841567,Dublin,70,01 864 8577,firstcare beneavin lodge,dublin,Firstcare Beneavin Lodge,Co. Dublin,1379
Firstcare Beneavin Manor,"Beneavin Road, Glasnevin, D11 F576",D11F576,53.3888656,-6.2853265,Dublin,115,01 912 3010,firstcare beneavin manor,dublin,Firstcare Beneavin Manor,Co. Dublin,1379
Firstcare Blainroe Lodge,"Coast Road, Blainroe, Wicklow, A67 VK52",A67VK52,52.9454117,-6.021431499999999,Wicklow,72,0404 60030,firstcare blainroe lodge,wicklow,Firstcare Blainroe Lodge,Co. Wicklow,1275
Firstcare Earlsbrook House,"41 Meath Road, Bray, A98 DH95",A98DH95,53.1997757,-6.0986506,Wicklow,63,01 276 1601,firstcare earlsbrook house,wicklow,Firstcare Earlsbrook House,Co. Wicklow,1275
Firstcare Mountpleasant Lodge,"Clane Road, Portgloriam, Kilcock, W23 XT7W",W23XT7W,53.3872536,-6.6957779,Kildare,81,01 610 3166,firstcare mountpleasant lodge,kildare,Firstcare Mountpleasant Lodge,Co. Kildare,1265
Flannery's Nursing Home,"Chapel Road, Abbeyknockmoy, Tuam, H54 PX79",H54PX79,53.4177421,-8.725334499999999,Galway,60,093 431 30,flannerys nursing home,galway,Flannery's Nursing Home,Co. Galway,1095
Foxrock Nursing Home,"Westminster Road, Foxrock, D18 KX82",D18KX82,53.2709363,-6.1714173,Dublin,40,01 289 6885,foxrock nursing home,dublin,Foxrock Nursing Home,Co. Dublin,1325
Friars Lodge Nursing Home,"Convent Road, Ballinrobe, F31 XP58",F31XP58,53.6245761,-9.2079305,Mayo,64,094 954 2474,friars lodge nursing home,mayo,Friars Lodge Nursing Home,Co. Mayo,1030
Garbally View Nursing Home,"Brackernagh, Ballinasloe, H53 P688",H53P688,53.3231051,-8.2393346,Galway,36,090 964 2622,garbally view nursing home,galway,Garbally View Nursing Home,Co. Galway,1000
Gascoigne House Nursing Home,"37-39 Cowper Road, Rathmines, D06 HW18",D06HW18,53.3170122,-6.2569576,Dublin,50,01 406 6414,gascoigne house nursing home,dublin,Gascoigne House Nursing Home,Co. Dublin,1328
Glebe House Nursing Home,"Kilternan Care Centre, Glebe Road, Kilternan, D18 Y201",D18Y201,53.24164810000001,-6.2013418,Dublin,54,01 406 6414,glebe house nursing home,dublin,Glebe House Nursing Home,Co. Dublin,1328
Glenashling Nursing Home,"Oldtown, Celbridge, W23 X279",W23X279,53.34308129999999,-6.5564619,Kildare,75,01 627 2694,glenashling nursing home,kildare,Glenashling Nursing Home,Co. Kildare,1185
Glenaulin Nursing Home,"Lucan Road, Chapelizod , D20 YT66",D20YT66,53.3530283,-6.355431900000001,Dublin,84,01 626 4677,glenaulin nursing home,dublin,Glenaulin Nursing Home,Co. Dublin,1367
Glendonagh Residential Home,"Dungourney, Midleton, P25 HK59",P25HK59,51.9789294,-8.094602799999999,Cork,42,021 466 8327,glendonagh residential home,k,Glendonagh Residential Home,Co. Cork,1080
Glengara Park Nursing Home,"Lower Glenageary Road, Dun Laoghaire, A96 H242",A96H242,53.2854222,-6.1311094,Dublin,66,01 280 6168,glengara park nursing home,dublin,Glengara Park Nursing Home,Co. Dublin,1325
Glyntown Care Centre,"Glyntown, Glanmire, T45 H795",T45H795,51.9247825,-8.387196399999999,Cork,38,021 482 1500,glyntown care centre,k,Glyntown Care Centre,Co. Cork,1135
Good Counsel Nursing Home,"Kilmallock Road, Limerick City, V94 RT96",V94RT96,52.6422876,-8.5880815,Limerick,28,061 416 288,good counsel nursing home,limerick,Good Counsel Nursing Home,Co. Limerick,1060
Gormanston Wood Nursing Home,"Gormanston, K32 NA71",K32NA71,53.6324505,-6.2179936,Meath,89,01 841 4566,gormanston wood nursing home,meath,Gormanston Wood Nursing Home,Co. Meath,1235
Gowran Abbey Nursing Home,"Gowran Abbey Nursing Home Limited, Abbey Court, Gowran, R95 Y953",R95Y953,52.6318952,-7.062717699999999,Kilkenny,51,056 772 6500,gowran abbey nursing home,kilkenny,Gowran Abbey Nursing Home,Co. Kilkenny,1056
Grange Con Nursing Home,"Carrigrohane, T12 H271",T12H271,51.91581799999999,-8.6104162,Cork,24,021 438 5479,grange con nursing home,k,Grange Con Nursing Home,Co. Cork,1125
Greenhill Nursing Home,"Waterford Road, Carrick-on-Suir, E32 FY09",E32FY09,52.3512614,-7.397190399999999,Tipperary,55,051 642 700,greenhill nursing home,tipperary,Greenhill Nursing Home,Co. Tipperary,1124
Greenpark Nursing Home,"Tullinadaly Road, Tuam, H54 C596",H54C596,53.5207595,-8.8529523,Galway,51,093 244 10,greenpark nursing home,galway,Greenpark Nursing Home,Co. Galway,1115
Greystones Nursing Home,"Church Road, Greystones , A63 HK44",A63HK44,53.1482564,-6.066708800000001,Wicklow,64,01 287 3226,greystones nursing home,wicklow,Greystones Nursing Home,Co. Wicklow,1220
Griffeen Valley Nursing Home,"Esker Road, Esker, Lucan, K78 V208",K78V208,53.3490562,-6.439173,Dublin,26,01 624 9736,griffeen valley nursing home,dublin,Griffeen Valley Nursing Home,Co. Dublin,1378
Hamilton Park Care Facility,"Balrothery, Balbriggan, K32 X377",K32X377,53.59323449999999,-6.188689699999999,Dublin,135,01 690 1400,hamilton park care facility,dublin,Hamilton Park Care Facility,Co. Dublin,1250
Harbour Lights Nursing Home,"Townasligo, Bruckless, F94 N597",F94N597,54.6415899,-8.4222632,Donegal,56,074 973 2020,harbour lights nursing home,donegal,Harbour Lights Nursing Home,Co. Donegal,1099
Haven Bay Care Centre,"Ballinacubby, Kinsale, P17 A580",P17A580,51.70318200000001,-8.5314268,Cork,127,021 477 7328,haven bay care centre,k,Haven Bay Care Centre,Co. Cork,1237
Hazel Hall Nursing Home,"Prosperous Road, Clane, W91 DA07",W91DA07,53.28955819999999,-6.7022299,Kildare,46,045 868 662,hazel hall nursing home,kildare,Hazel Hall Nursing Home,Co. Kildare,1115
Heatherfield Nursing Home,"Bush Lane, Raynestown, Dunshaughlin, A85 KC62",A85KC62,53.475448,-6.5202423,Meath,30,01 825 9354,heatherfield nursing home,meath,Heatherfield Nursing Home,Co. Meath,1158
Hillcrest House Nursing Home,"Long Lane, Letterkenny, F92 YY38",F92YY38,54.961956,-7.7429804,Donegal,58,074 912 2342,hillcrest house nursing home,donegal,Hillcrest House Nursing Home,Co. Donegal,1100
Hillside Nursing Home,"Attidermot, Aughrim, Ballinasloe, H53 E090",H53E090,53.3016848,-8.320841099999999,Galway,24,090 967 3996,hillside nursing home,galway,Hillside Nursing Home,Co. Galway,1055
Hillview Convalescence & Nursing Home,"Tullow Road, R93 YX46",R93YX46,52.8303609,-6.9050463,Carlow,54,059 913 9407 / 0599139408,hillview convalescence  nursing home,carlow,Hillview Convalescence & Nursing Home,Co. Carlow,1130
Holy Family Nursing Home,"Magheramore, Killimor, Ballinasloe, H53 KP28",H53KP28,53.1719249,-8.2910106,Galway,70,090 967 6044,holy family nursing home,galway,Holy Family Nursing Home,Co. Galway,1110
Holy Family Residence,"Little Sisters of the Poor, Holy Family Residence, Roebuck Road, Dundrum, D14 C7W2",D14C7W2,53.302609,-6.2268339,Dublin,60,01 283 2455,holy family residence,dublin,Holy Family Residence,Co. Dublin,1262
Howth Hill Lodge,"Thormanby Road, Howth, D13 KN22",D13KN22,53.3746714,-6.0553026,Dublin,48,01 839 1440,howth hill lodge,dublin,Howth Hill Lodge,Co. Dublin,1267
Kenmare Nursing Home,"Killaha East, Kenmare, V93 KT10",V93KT10,51.8617952,-9.6049153,Kerry,26,064 664 1315,kenmare nursing home,kerry,Kenmare Nursing Home,Co. Kerry,1105
Kerlogue Nursing Home,"Kerlogue, Y35 ND37",Y35ND37,52.3180252,-6.4568013,Wexford,89,053 917 0400,kerlogue nursing home,wexford,Kerlogue Nursing Home,Co. Wexford,1165
Kilbarry Care Centre,"Carrigea Crescent, Kilbarry, X91 HDA2",X91HDA2,52.2306051,-7.1389159,Waterford,90,051 364 091,kilbarry care centre,waterford,Kilbarry Care Centre,Co. Waterford,1150
Kilbrew Recuperation and Nursing Care,"Kilbrew Demense, Curragha, Ashbourne, A84 TR72",A84TR72,53.5474273,-6.4473866,Meath,74,01 835 8900,kilbrew recuperation and nursing care,meath,Kilbrew Recuperation and Nursing Care,Co. Meath,1195
Kilcara House Nursing Home,"Kilcara, Duagh, Listowel, V31 W266",V31W266,52.3985326,-9.3578666,Kerry,31,068 45 377,kilcara house nursing home,kerry,Kilcara House Nursing Home,Co. Kerry,1050
Kilcolgan Nursing Home,"Killeely More, Kilcolgan, H91 Y7N3",H91Y7N3,53.21020009999999,-8.8587891,Galway,48,091 776 446,kilcolgan nursing home,galway,Kilcolgan Nursing Home,Co. Galway,1103
Kilcoole Lodge Nursing Home,"Lott Lane, Kilcoole, A63 YW71",A63YW71,53.11092259999999,-6.0589909,Wicklow,89,01 201 7191,kilcoole lodge nursing home,wicklow,Kilcoole Lodge Nursing Home,Co. Wicklow,1230
Kilkenny Care Centre,"Newpark Crescent, Newpark, R95 W2RP",R95W2RP,52.6594971,-7.244477600000001,Kilkenny,90,056 780 0004,kilkenny care centre,kilkenny,Kilkenny Care Centre,Co. Kilkenny,1135
Killarney Nursing Home,"Rock Road, Killarney, V93 Y381",V93Y381,52.0634499,-9.515024799999999,Kerry,56,064 663 2678,killarney nursing home,kerry,Killarney Nursing Home,Co. Kerry,1103
Killeline Care Centre,"Cork Road , Newcastle West, V42 C501",V42C501,52.4448531,-9.0455929,Limerick,63,069 22061 or 069 69836,killeline care centre,limerick,Killeline Care Centre,Co. Limerick,1119
Killure Bridge Nursing Home,"Airport Road , X91 NP44",X91NP44,52.2175261,-7.0936949,Waterford,79,051 870 055,killure bridge nursing home,waterford,Killure Bridge Nursing Home,Co. Waterford,1190
Kilmainhamwood Nursing Home,"Kilmainhamwood, Kells, A82 DN84",A82DN84,53.8450849,-6.803279900000001,Meath,43,046 905 2070,kilmainhamwood nursing home,meath,Kilmainhamwood Nursing Home,Co. Meath,1105
Kilminchy Lodge Nursing Home,"Kilminchy, Portlaoise, Portlaoise, R32 WK35",R32WK35,53.04341969999999,-7.2682527,Laois,74,057 866 3600,kilminchy lodge nursing home,laois,Kilminchy Lodge Nursing Home,Co. Laois,1125
Kilrush District Hospital Limited,"Cooraclare Road, Kilrush, V15 CH98",V15CH98,52.64171109999999,-9.4842408,Clare,28,065 905 1966,kilrush district hospital limited,clare,Kilrush District Hospital Limited,Co. Clare,1055
Kilrush Nursing Home,"Kilimer Road, Kilrush, V15FN44",V15FN44,52.6365993,-9.48095,Clare,46,065 906 2686,kilrush nursing home,clare,Kilrush Nursing Home,Co. Clare,1095
Kiltipper Woods Care Centre,"Kiltipper Road, Tallaght, D24 A248",D24A248,53.2674947,-6.365941299999999,Dublin,122,01 462 5277,kiltipper woods care centre,dublin,Kiltipper Woods Care Centre,Co. Dublin,1412
Kinvara House Nursing Home,"3 - 4 Esplanade, Strand Road, Bray, A98 VY10",A98VY10,53.19978589999999,-6.0969335,Wicklow,36,01 286 6153,kinvara house nursing home,wicklow,Kinvara House Nursing Home,Co. Wicklow,1283
Knockeen Nursing Home,"Knockeen, Barntown, Y35CY80",Y35CY80,52.343135,-6.576346099999999,Wexford,49,053 913 4600,knockeen nursing home,wexford,Knockeen Nursing Home,Co. Wexford,1155
Knockrobin Hill Care Home,"Knockrobin, Port Road, Wicklow, A67 ED27",A67ED27,52.9896416,-6.0629101,Wicklow,99,040 462 775,knockrobin hill care home,wicklow,Knockrobin Hill Care Home,Co. Wicklow,1240
Kylemore House Nursing Home,"Sidmonton Road, Bray , A98 PA09",A98PA09,53.1994267,-6.1019158,Wicklow,38,01 286 3255,kylemore house nursing home,wicklow,Kylemore House Nursing Home,Co. Wicklow,1158
Lake House Nursing Home,"Portnablagh, Dunfanghy, F92 PF58",F92PF58,55.1750082,-7.9288461,Donegal,47,074 913 6197,lake house nursing home,donegal,Lake House Nursing Home,Co. Donegal,1042
Lakes Nursing Home,"Hill Road, Killaloe, V94 NR79",V94NR79,52.8059437,-8.447517,Clare,57,061 375 547,lakes nursing home,clare,Lakes Nursing Home,Co. Clare,1130
Larchfield Park Nursing Home,"Monread Road, Naas , W91 PX94",W91PX94,53.2365539,-6.6464268,Kildare,70,045 875 505,larchfield park nursing home,kildare,Larchfield Park Nursing Home,Co. Kildare,1212
Larissa Lodge Nursing Home,"Carnamuggagh, Letterkenny, F92 Y726",F92Y726,54.9687913,-7.7323986,Donegal,64,074 916 8526,larissa lodge nursing home,donegal,Larissa Lodge Nursing Home,Co. Donegal,1120
Laurel Lodge Nursing Home,"Templemichael, Longford, N39 XE92",N39XE92,53.73487220000001,-7.776005899999999,Longford,114,043 334 8033,laurel lodge nursing home,longford,Laurel Lodge Nursing Home,Co. Longford,1223
Lawson House Nursing Home,"Knockrathkyle, Glenbrien, Enniscorthy, Y21 AW82",Y21AW82,52.4680971,-6.5212869,Wexford,65,053 923 3945,lawson house nursing home,wexford,Lawson House Nursing Home,Co. Wexford,1110
Leeson Park House Nursing Home,"10 Leeson Park, D06 TC65",D06TC65,53.3272863,-6.251805900000001,Dublin,45,01 497 6500,leeson park house nursing home,dublin,Leeson Park House Nursing Home,Co. Dublin,1327
Leopardstown Care Centre,"Ballyogan Road, D18 A3VR",D18A3VR,53.2603519,-6.194782699999999,Dublin,51,01 517 0175,leopardstown care centre,dublin,Leopardstown Care Centre,Co. Dublin,1335
Lexington House,"Monastery Road, Clondalkin, D22 F2N2",D22F2N2,53.3209222,-6.3883687,Dublin,92,01 221 0150,lexington house,dublin,Lexington House,Co. Dublin,1295
Lisheen Nursing Home,"Stoney Lane, Rathcoole , D24 Y042",D24Y042,53.2801622,-6.4679499,Dublin,120,01 257 4500,lisheen nursing home,dublin,Lisheen Nursing Home,Co. Dublin,1383
Little Flower Nursing Home,"Labane, Ardrahan, H91 ND26",H91ND26,53.1434952,-8.800572100000002,Galway,50,091 635 449,little flower nursing home,galway,Little Flower Nursing Home,Co. Galway,1065
Lough Erril Private Nursing Home,"Lough Erril, Mohill, N41 XE39",N41XE39,53.92086339999999,-7.921490999999999,Leitrim,44,071 963 1520,lough erril private nursing home,leitrim,Lough Erril Private Nursing Home,Co. Leitrim,1042
Loughshinny Residential Home,"Blackland, Ballykea, Loughshinny, Skerries, K34 DV78",K34DV78,53.5462244,-6.1029057,Dublin,126,01 215 0200,loughshinny residential home,dublin,Loughshinny Residential Home,Co. Dublin,1395
Lourdesville Nursing Home,"Athy Road, Kildare Road, Kildare Town, R51 PY94",R51PY94,53.139983,-6.917651299999999,Kildare,42,045 521 496,lourdesville nursing home,kildare,Lourdesville Nursing Home,Co. Kildare,1180
Lucan Lodge Nursing Home,"Ardeevin Drive, Lucan , K78Y192",K78Y192,53.3539721,-6.4559941,Dublin,74,01 628 0555,lucan lodge nursing home,dublin,Lucan Lodge Nursing Home,Co. Dublin,1379
Lystoll Lodge Nursing Home,"Skehenerin, Listowel, V31 EC92",V31EC92,52.4485304,-9.4418581,Kerry,48,068 24248,lystoll lodge nursing home,kerry,Lystoll Lodge Nursing Home,Co. Kerry,1065
Maria Goretti Nursing Home,"Proonts, Kilmallock, V35 T104",V35T104,52.4063025,-8.5703953,Limerick,57,063 989 83,maria goretti nursing home,limerick,Maria Goretti Nursing Home,Co. Limerick,1110
Marian House,"Holy Faith Convent, Glasnevin, D11 HN8F",D11HN8F,53.3755317,-6.27112,Dublin,26,01 837 6165,marian house,dublin,Marian House,Co. Dublin,1245
Maryborough Nursing Home,"Maryborough Hill, Douglas, T12 AX28",T12AX28,51.8630653,-8.4102622,Cork,37,021 489 1586,maryborough nursing home,k,Maryborough Nursing Home,Co. Cork,1065
Maryfield Nursing Home,"Farnablake East, Athenry, H65 DD54",H65DD54,53.290112,-8.744729099999999,Galway,23,091 844 833,maryfield nursing home,galway,Maryfield Nursing Home,Co. Galway,1155
Maryfield Nursing Home,"Old Lucan Road, Chapelizod, D20 WC89",D20WC89,53.3507313,-6.3496054,Dublin,69,01 567 7576,maryfield nursing home,dublin,Maryfield Nursing Home,Co. Dublin,1275
Marymount Care Centre,"Westmanstown , Lucan, K78 FD29",K78FD29,53.37346609999999,-6.4407074,Dublin,140,01 820 4500,marymount care centre,dublin,Marymount Care Centre,Co. Dublin,1355
Maynooth Lodge Nursing Home,"Rathcoffey Road, Crinstown, Maynooth, W23 P237",W23P237,53.3687501,-6.6159726,Kildare,85,01 629 2433,maynooth lodge nursing home,kildare,Maynooth Lodge Nursing Home,Co. Kildare,1230
Middletown House Nursing Home,"Ardamine, Gorey, Y25 P6H7",Y25P6H7,52.6337217,-6.2411673,Wexford,51,053 942 5451,middletown house nursing home,wexford,Middletown House Nursing Home,Co. Wexford,1150
Mill Lane Manor Private Nursing Home,"Sallins Road, Naas, W91 W329",W91W329,53.2249743,-6.6663245,Kildare,70,045 874 700,mill lane manor private nursing home,kildare,Mill Lane Manor Private Nursing Home,Co. Kildare,1238
Millbrae Lodge Nursing Home,"Newport, V94 H2V3",V94H2V3,52.7078037,-8.4304387,Tipperary,81,061 378 933,millbrae lodge nursing home,tipperary,Millbrae Lodge Nursing Home,Co. Tipperary,1130
Millbrook Manor Nursing Home,"Slade Road, Coolmines, Saggart, D24 A9RY",D24A9RY,53.2758126,-6.4519414,Dublin,85,01 257 4400,millbrook manor nursing home,dublin,Millbrook Manor Nursing Home,Co. Dublin,1345
Millbury Nursing Home,"Commons Road, Navan, C15 WY88",C15WY88,53.64146460000001,-6.7026981,Meath,101,046 903 6400,millbury nursing home,meath,Millbury Nursing Home,Co. Meath,1140
Moate Nursing Home,"Dublin Road, Moate, N37 NT68",N37NT68,53.3962713,-7.710508900000001,Westmeath,50,090 648 2855,moate nursing home,westmeath,Moate Nursing Home,Co. Westmeath,1105
Mooncoin Residential Care Centre,"Polerone Road, Mooncoin, X91 T638",X91T638,52.2950773,-7.261685900000001,Kilkenny,78,051 896 884,mooncoin residential care centre,kilkenny,Mooncoin Residential Care Centre,Co. Kilkenny,1161
Moorehall Lodge Ardee,"Hale Street, Ardee, A92 W967",A92W967,53.8543736,-6.5348969,Louth,125,041 685 6990,moorehall lodge ardee,louth,Moorehall Lodge Ardee,Co. Louth,1175
Moorehall Lodge Balbriggan,"Bath Road, Balbriggan, K32 XR04",K32XR04,53.6143768,-6.184263199999999,Dublin,102,041 981 6722,moorehall lodge balbriggan,dublin,Moorehall Lodge Balbriggan,Co. Dublin,1327
Moorehall Lodge Drogheda,"Dublin Road, Drogheda, A92 XP03",A92XP03,53.6983007,-6.3103057,Meath,121,041 981 6700,moorehall lodge drogheda,meath,Moorehall Lodge Drogheda,Co. Meath,1190
Mount Cara Nursing Home,"Redemption Road, Blackpool, Cork, T23 YY93",T23YY93,51.90867129999999,-8.4787091,Cork,26,021 439 5737,mount cara nursing home,k,Mount Cara Nursing Home,Co. Cork,1150
Mount Carmel Nursing Home,"Abbey Street, Roscrea, E53 RD23",E53RD23,52.9518154,-7.803860599999998,Tipperary,31,0505 21146,mount carmel nursing home,tipperary,Mount Carmel Nursing Home,Co. Tipperary,1129
Mount Hybla Private,"Farmleigh Woods, Castleknock, D15 Y977",D15Y977,53.3681297,-6.35961,Dublin,66,01 869 9722,mount hybla private,dublin,Mount Hybla Private,Co. Dublin,1325
Mount Sackville Nursing Home,"College Road, Chapelizod, D20 FH56",D20FH56,53.35996410000001,-6.3562603,Dublin,33,01 821 3134,mount sackville nursing home,dublin,Mount Sackville Nursing Home,Co. Dublin,1270
Mount Tabor Nursing Home and Care Centre,"Mount Tabor, Sandymount Green, Sandymount, D04 YT68",D04YT68,53.3322367,-6.2136502,Dublin,46,01 260 5766,mount tabor nursing home and care centre,dublin,Mount Tabor Nursing Home and Care Centre,Co. Dublin,1245
Mountbellew Nursing Home,"Mountbellew, H53 PV34",H53PV34,53.4696748,-8.4984213,Galway,35,090 967 9735,mountbellew nursing home,galway,Mountbellew Nursing Home,Co. Galway,1005
Moycullen Nursing Home,"Ballinahalla, Moycullen , H91 CC60",H91CC60,53.3610368,-9.1743583,Galway,53,091 868 686,moycullen nursing home,galway,Moycullen Nursing Home,Co. Galway,1103
Moyglare Nursing Home,"Moyglare Road, Maynooth, W23 HF82",W23HF82,53.39077,-6.5978176,Kildare,53,01 628 9022,moyglare nursing home,kildare,Moyglare Nursing Home,Co. Kildare,1272
Mullinahinch House Private Nursing Home,"Mullinahinch, H18 PR68",H18PR68,54.2507986,-7.0181716,Monaghan,52,047 72 138,mullinahinch house private nursing home,monaghan,Mullinahinch House Private Nursing Home,Co. Monaghan,1141
Mystical Rose Private Nursing Home,"Knockdoemore, Claregalway, H91 HK37",H91HK37,53.37161889999999,-8.9217853,Galway,54,091 798 908,mystical rose private nursing home,galway,Mystical Rose Private Nursing Home,Co. Galway,1125
Nazareth House,"Malahide Road, Clontarf, D03 KW08",D03KW08,53.3711183,-6.2245817,Dublin,120,01 833 8205,nazareth house,dublin,Nazareth House,Co. Dublin,1345
Nazareth House,"Fahan, Lifford, F93 VR99",F93VR99,55.0876233,-7.4677137,Donegal,48,074 936 0113,nazareth house,donegal,Nazareth House,Co. Donegal,1050
Nazareth House,"Dromahane, Mallow, P51 T889",P51T889,52.1091579,-8.6810449,Cork,120,022 215 61,nazareth house,k,Nazareth House,Co. Cork,1365
Nazareth House Nursing Home Sligo,"Church Hill, Sligo Town, F91 A243",F91A243,54.2674137,-8.482801199999999,Sligo,70,071 918 0900,nazareth house nursing home sligo,sligo,Nazareth House Nursing Home Sligo,Co. Sligo,1265
Nenagh Manor Nursing Home,"Yewston, Nenagh, E45 K280",E45K280,52.8608787,-8.2066331,Tipperary,50,067 346 54,nenagh manor nursing home,tipperary,Nenagh Manor Nursing Home,Co. Tipperary,1135
Nephin Nursing Home,"132 - 134 Navan Road, Cabra, D07 X294",D07X294,53.3646002,-6.308247000000001,Dublin,62,01 538 3340,nephin nursing home,dublin,Nephin Nursing Home,Co. Dublin,1304
New Ross Community Hospital,"Hospital Road, New Ross , Y34 NH39",Y34NH39,52.3896872,-6.93948,Wexford,35,051 421 305,new ross community hospital,wexford,New Ross Community Hospital,Co. Wexford,1140
Newbrook Nursing Home,"Ballymahon Road, Mullingar, N91 D232",N91D232,53.51603309999999,-7.372707999999999,Westmeath,119,044 934 2211,newbrook nursing home,westmeath,Newbrook Nursing Home,Co. Westmeath,1135
Newpark Care Centre,"Newpark , The Ward , D11 RW27",D11RW27,53.4490676,-6.3311481,Dublin,72,01 864 3465,newpark care centre,dublin,Newpark Care Centre,Co. Dublin,1277
Nightingale Nursing Home,"Lowville, Ahascragh, Ballinasloe, H53 TY71",H53TY71,53.3912188,-8.3343775,Galway,31,090 968 8095,nightingale nursing home,galway,Nightingale Nursing Home,Co. Galway,1105
Northwood Residential Home,"Old Ballymun Road, Northwood, D09H32H",D09H32H,53.4028433,-6.2632938,Dublin,120,01 223 4670,northwood residential home,dublin,Northwood Residential Home,Co. Dublin,1365
Norwood Grange,"Ballinora, Waterfall, Near Cork, T12 WA47",T12WA47,51.8638424,-8.5797745,Cork,30,021 487 3291,norwood grange,k,Norwood Grange,Co. Cork,1170
Oak View Nursing Home,"The Commons, Belturbet, H14 A585",H14A585,54.091628,-7.4250048,Cavan,61,049 952 2630,oak view nursing home,cavan,Oak View Nursing Home,Co. Cavan,1180
Oakdale Nursing Home,"Kilmalogue, Gracefield, Portarlington, R32 P025",R32P025,53.1622092,-7.205652600000001,Laois,58,057 864 5282,oakdale nursing home,laois,Oakdale Nursing Home,Co. Laois,1230
Oakfield Nursing Home,"Ballinakill, Courtown, Gorey, Y25NX33",Y25NX33,52.6353281,-6.2739984,Wexford,91,053 942 5679,oakfield nursing home,wexford,Oakfield Nursing Home,Co. Wexford,1116
Oaklodge Nursing Home,"Churchtown South, Cloyne, P25 FF88",P25FF88,51.8292237,-8.0826544,Cork,65,021 464 6080,oaklodge nursing home,k,Oaklodge Nursing Home,Co. Cork,1190
Oakwood Lodge Nursing Home,"Kilreesk Road, Skephubble, St Margaret's, K67 CX23",K67CX23,53.4488178,-6.2948472,Dublin,45,01 840 8329,oakwood lodge nursing home,dublin,Oakwood Lodge Nursing Home,Co. Dublin,1298
Oghill Nursing Home,"Oghill , Monasterevin, W34 YE26",W34YE26,53.1275227,-6.999007,Kildare,34,045 523 513,oghill nursing home,kildare,Oghill Nursing Home,Co. Kildare,1245
Orwell Private,"112 Orwell Road, Rathgar, D06 TN66",D06TN66,53.30615479999999,-6.2687592,Dublin,170,01 499 9000,orwell private,dublin,Orwell Private,Co. Dublin,1370
Orwell Queen of Peace,"Garville Avenue, Rathgar, D06 F6C4",D06F6C4,53.3165729,-6.2726104,Dublin,46,01 499 9000,orwell queen of peace,dublin,Orwell Queen of Peace,Co. Dublin,1320
Our Lady of Fatima Home,"Our Lady of Fatima Home, Oakpark, Tralee, V92 HW58",V92HW58,52.278772,-9.6910664,Kerry,66,066 712 5900,our lady of fatima home,kerry,Our Lady of Fatima Home,Co. Kerry,1010
Our Lady of Lourdes Care Facility,"Kilcummin Village, Killarney, V93 A279",V93A279,52.0965819,-9.4699562,Kerry,66,064 664 3012,our lady of lourdes care facility,kerry,Our Lady of Lourdes Care Facility,Co. Kerry,1130
Our Lady's Manor,"Bulloch Castle, Dalkey, A96 P9C1",A96P9C1,53.2843888,-6.107416799999999,Dublin,118,01 280 6993,our ladys manor,dublin,Our Lady's Manor,Co. Dublin,1185
Our Lady's Manor Nursing Home,"Edgeworthstown, N39 VR04",N39VR04,53.69394819999999,-7.6063844,Longford,61,043 667 1007,our ladys manor nursing home,longford,Our Lady's Manor Nursing Home,Co. Longford,1160
Padre Pio Nursing Home,"Graiguenoe, Holycross, Thurles, E41 F6F7",E41F6F7,52.6381312,-7.8598173,Tipperary,49,050 443 110,padre pio nursing home,tipperary,Padre Pio Nursing Home,Co. Tipperary,1100
Padre Pio Nursing Home,"Sunnyside, Upper Rochestown, T12 WF29",T12WF29,51.8687761,-8.3676929,Cork,25,021 484 1595,padre pio nursing home,k,Padre Pio Nursing Home,Co. Cork,1040
Padre Pio Rest Home,"Kilderriheen, Cappoquin, P51 XH68",P51XH68,52.1405463,-7.839748699999999,Waterford,24,058 541 17,padre pio rest home,waterford,Padre Pio Rest Home,Co. Waterford,1128
Parke House Nursing Home,"Boycetown, Kilcock, W23 X3NR",W23X3NR,53.40894249999999,-6.6986338,Kildare,145,01 610 3585,parke house nursing home,kildare,Parke House Nursing Home,Co. Kildare,1219
Patterson's Nursing Home,"Lismackin, Roscrea, E53 F402",E53F402,52.9000236,-7.798640900000001,Tipperary,24,050 543 130,pattersons nursing home,tipperary,Patterson's Nursing Home,Co. Tipperary,1095
Pilgrims Rest Nursing Home,"Barley Hill, Westport, F28 W525",F28W525,53.8183051,-9.5362224,Mayo,33,098 27 086,pilgrims rest nursing home,mayo,Pilgrims Rest Nursing Home,Co. Mayo,1105
Portiuncula Nursing Home,"Multyfarnham, N91 RW14",N91RW14,53.6287122,-7.390985099999999,Westmeath,60,044 937 1911,portiuncula nursing home,westmeath,Portiuncula Nursing Home,Co. Westmeath,1130
Portumna Retirement Village,"St Brendan's Road, Portumna, H53 TF88",H53TF88,53.097053,-8.2268951,Galway,63,090 97 59170,portumna retirement village,galway,Portumna Retirement Village,Co. Galway,1054
