Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Both sexes,68 years,Dún Laoghaire-Rathdown,Number,2082
Population,2022,Both sexes,68 years,Fingal,Number,2290
Population,2022,Both sexes,68 years,Galway City,Number,653
Population,2022,Both sexes,68 years,Galway County,Number,1851
Population,2022,Both sexes,68 years,Kildare,Number,1861
Population,2022,Both sexes,68 years,Kilkenny,Number,1045
Population,2022,Both sexes,68 years,Kerry,Number,1721
Population,2022,Both sexes,68 years,Longford,Number,448
Population,2022,Both sexes,68 years,Louth,Number,1169
Population,2022,Both sexes,68 years,Limerick City and County,Number,1929
Population,2022,Both sexes,68 years,Leitrim,Number,415
Population,2022,Both sexes,68 years,Laois,Number,749
Population,2022,Both sexes,68 years,Meath,Number,1685
Population,2022,Both sexes,68 years,Monaghan,Number,631
Population,2022,Both sexes,68 years,Mayo,Number,1602
Population,2022,Both sexes,68 years,Offaly,Number,736
Population,2022,Both sexes,68 years,Roscommon,Number,794
Population,2022,Both sexes,68 years,South Dublin,Number,2495
Population,2022,Both sexes,68 years,Sligo,Number,767
Population,2022,Both sexes,68 years,Tipperary,Number,1738
Population,2022,Both sexes,68 years,Waterford City and County,Number,1203
Population,2022,Both sexes,68 years,Westmeath,Number,859
Population,2022,Both sexes,68 years,Wicklow,Number,1368
Population,2022,Both sexes,68 years,Wexford,Number,1642
Population,2022,Both sexes,69 years,State,Number,45969
Population,2022,Both sexes,69 years,Cork City and Cork County,Number,5308
Population,2022,Both sexes,69 years,Clare,Number,1289
Population,2022,Both sexes,69 years,Cavan,Number,722
Population,2022,Both sexes,69 years,Carlow,Number,587
Population,2022,Both sexes,69 years,Dublin City,Number,4391
Population,2022,Both sexes,69 years,Donegal,Number,1752
Population,2022,Both sexes,69 years,Dún Laoghaire-Rathdown,Number,2076
Population,2022,Both sexes,69 years,Fingal,Number,2320
Population,2022,Both sexes,69 years,Galway City,Number,678
Population,2022,Both sexes,69 years,Galway County,Number,1931
Population,2022,Both sexes,69 years,Kildare,Number,1930
Population,2022,Both sexes,69 years,Kilkenny,Number,1013
Population,2022,Both sexes,69 years,Kerry,Number,1762
Population,2022,Both sexes,69 years,Longford,Number,433
Population,2022,Both sexes,69 years,Louth,Number,1105
Population,2022,Both sexes,69 years,Limerick City and County,Number,2050
Population,2022,Both sexes,69 years,Leitrim,Number,403
Population,2022,Both sexes,69 years,Laois,Number,759
Population,2022,Both sexes,69 years,Meath,Number,1624
Population,2022,Both sexes,69 years,Monaghan,Number,617
Population,2022,Both sexes,69 years,Mayo,Number,1562
Population,2022,Both sexes,69 years,Offaly,Number,763
Population,2022,Both sexes,69 years,Roscommon,Number,758
Population,2022,Both sexes,69 years,South Dublin,Number,2570
Population,2022,Both sexes,69 years,Sligo,Number,774
Population,2022,Both sexes,69 years,Tipperary,Number,1723
Population,2022,Both sexes,69 years,Waterford City and County,Number,1194
Population,2022,Both sexes,69 years,Westmeath,Number,872
Population,2022,Both sexes,69 years,Wicklow,Number,1375
Population,2022,Both sexes,69 years,Wexford,Number,1628
Population,2022,Both sexes,70 years,State,Number,43150
Population,2022,Both sexes,70 years,Cork City and Cork County,Number,4958
Population,2022,Both sexes,70 years,Clare,Number,1230
Population,2022,Both sexes,70 years,Cavan,Number,678
Population,2022,Both sexes,70 years,Carlow,Number,522
Population,2022,Both sexes,70 years,Dublin City,Number,4105
Population,2022,Both sexes,70 years,Donegal,Number,1640
Population,2022,Both sexes,70 years,Dún Laoghaire-Rathdown,Number,1979
Population,2022,Both sexes,70 years,Fingal,Number,2171
Population,2022,Both sexes,70 years,Galway City,Number,553
Population,2022,Both sexes,70 years,Galway County,Number,1763
Population,2022,Both sexes,70 years,Kildare,Number,1711
Population,2022,Both sexes,70 years,Kilkenny,Number,962
Population,2022,Both sexes,70 years,Kerry,Number,1692
Population,2022,Both sexes,70 years,Longford,Number,433
Population,2022,Both sexes,70 years,Louth,Number,1089
Population,2022,Both sexes,70 years,Limerick City and County,Number,1924
Population,2022,Both sexes,70 years,Leitrim,Number,370
Population,2022,Both sexes,70 years,Laois,Number,740
Population,2022,Both sexes,70 years,Meath,Number,1492
Population,2022,Both sexes,70 years,Monaghan,Number,594
Population,2022,Both sexes,70 years,Mayo,Number,1498
Population,2022,Both sexes,70 years,Offaly,Number,735
Population,2022,Both sexes,70 years,Roscommon,Number,756
Population,2022,Both sexes,70 years,South Dublin,Number,2475
Population,2022,Both sexes,70 years,Sligo,Number,690
Population,2022,Both sexes,70 years,Tipperary,Number,1637
Population,2022,Both sexes,70 years,Waterford City and County,Number,1150
Population,2022,Both sexes,70 years,Westmeath,Number,765
Population,2022,Both sexes,70 years,Wicklow,Number,1310
Population,2022,Both sexes,70 years,Wexford,Number,1528
Population,2022,Both sexes,71 years,State,Number,41685
Population,2022,Both sexes,71 years,Cork City and Cork County,Number,4808
Population,2022,Both sexes,71 years,Clare,Number,1191
Population,2022,Both sexes,71 years,Cavan,Number,680
Population,2022,Both sexes,71 years,Carlow,Number,497
