_id,Service name,Address,County,ig_xcord,ig_ycord
257,Kilminchy Lodge Nursing Home,"Kilminchy, Portlaoise, Co. Laois, R32wk35",Laois,249051.0945,199434.9219
258,Kilrush District Hospital,"Kilrush District Hospital Ltd., Cooraclare Road, Kilrush, Co. Clare, Clare",Clare,99492.38875,155504.2905
259,Kilrush Nursing Home,"Kilrush Nursing Home, Kilimer Road, Kilrush, Co. Clare, Clare",Clare,100635.5,153563.8442
260,Kiltipper Woods Care Centre,"Stanford Woods Care Centre Ltd, T/A Kiltipper Woods Care Centre, Kiltipper Road, Dublin 24",Dublin,309012.0571,225272.2398
261,Kiltormer Nursing Home,"Kiltormer Nursing Home, Kiltomer, Ballinasloe, Co. Galway, Galway",Galway,182381.9795,220281.2905
262,Kinsale Community Hospital,"Kinsale Community Hospital, Kinsale, Co. Cork, Cork",Cork,163855.9301,50539.97144
263,Kinvara House,"Kinvara House Nursing Home, 3 - 4 Esplanade, Strand Road, Bray, Co.Wicklow Wicklow",Wicklow,327076.8656,218583.7829
264,Knightsbridge Nursing Home,"Knightsbridge Nursing Home, Longwood Road, Trim, Co. Meath, Meath",Meath,279984.6903,256037.3781
265,Knockeen Nursing Home,"Knockeen Nursing Home, Knockeen, Barntown, Wexford, Wexford",Wexford,297264.6672,122482.1799
266,Kylemore House Nursing Home,"Kylemore House Nursing Home, Sidmonton Road, Bray, Co. Wicklow, Wicklow",Wicklow,326988.0652,217930.2977
267,La Verna Nursing Home,"La Verna Nursing Home, 30 Haddon Road, Clontarf, Dublin 3, Dublin 3",Dublin,319072.8399,236140.9581
268,Lake House Nursing Home,"Lake House Nursing Home, Portnablagh, Co. Donegal, Donegal",Donegal,204573.0585,436409.8385
269,Lakes Nursing Home,"Hill Road, Killaloe, Co. Clare, Clare",Clare,169771.1225,172864.0109
270,Larchfield Park Nursing Home,"Larchfield Park Nursing Home, Monread Road, Naas, Co. Kildare, Kildare",Kildare,290438.9772,221472.2009
271,Laurel Lodge Nursing Home,"Laurel Lodge Nursing Home, Templemichael Glebe, Longford, Co. Longford, Longford",Longford,214865.3048,276219.1857
272,Lawson House Nursing Home,"Lawson House Nursing Home, Knockrathkyle, Glenbrien, Enniscorthy, Co. Wexford Wexford",Wexford,300830.8174,136581.0571
273,Leeson Park House Nursing Home,"Leeson Park House Nursing Home, 10 Leeson Park, Ranelagh, Dublin 6, Dublin 6",Dublin,316790.9895,232081.5862
274,Leopardstown Park Hospital,"Leopardstown Park Hospital, Foxrock, Dublin 18, Dublin 18",Dublin,319999.4315,225879.019
275,Lifford Community Hospital,"Lifford Community Hospital, Lifford, Co. Donegal, Donegal",Donegal,233330.1629,398460.3601
276,Lir Retirement Home,"Lir Retirement Home, Tournafulla, Co.Limerick, Limerick, Limerick",Limerick,121240.6644,124252.0226
277,Lisdarn Centre,"Lisdarn Centre, Lisdarn Health Centre, Cavan, Cavan",Cavan,241834.1851,304557.4537
278,Lisheen Nursing Home,"Lisheen Nursing Home, Stoneylane, Rathcoole, Co. Dublin, Co. Dublin",Dublin,302178.5772,226583.6732
279,Listowel Community Hospital,"Listowel Community Hospital St. Joseph's Ward, Listowel, Co. Kerry, Kerry",Kerry,98199.84059,133859.3275
280,Little Flower Nursing Home,"Little Flower Nursing Home, Labane, Ardrahan, Co. Galway, Galway",Galway,146412.2106,210641.9905
281,Lough Corrib Nursing Home,"Lough Corrib Nursing Home, Kilbeg, Headford, Co. Galway, Galway",Galway,126499.7061,247168.2197
282,Lough Erril Private Nursing Home,"Lough Erril Private Nursing Home, Lough Erril, Mohill, Co. Leitrim, Leitrim",Leitrim,205191.678,296863.8551
283,Lourdesville Nursing Home,"Lourdesville Nursing Home, Athy Road, Kildare Town, Co. Kildare, Kildare",Kildare,272910.1748,212561.0234
284,Lucan Lodge Nursing Home,"Lucan Lodge Nursing Home, Ardeevin Drive, Lucan, Co. Dublin, Co. Dublin",Dublin,302796.7121,234810.799
285,Lusk Community Unit,"Lusk Community Unit, Station Road, Lusk, Co. Dublin, Co. Dublin",Dublin,322595.8059,254020.9403
286,Lystoll Lodge Nursing Home,"Lystoll Lodge Nursing Home, Skehenerin, Listowel, Co. Kerry, Kerry",Kerry,101968.3115,133938.3234
287,Mac Bride Community Nursing Unit,"Mac Bride Community Nursing Unit, Westport, Co. Mayo, Mayo",Mayo,99720.20246,284285.6632
288,Macroom Community Hospital,"Macroom Community Hospital, Macroom, Co. Cork, Cork",Cork,133934.6776,72954.37815
289,Maple Court Nursing Home,"Maple Court Nursing Home, Dublin Road, Castlepollard, Mullingar, Co. Westmeath Westmeath",Westmeath,247133.682,269276.1658
290,Maria Goretti Nursing Home,"Maria Goretti Nursing Home, Proonts, Kilmallock, Co. Limerick, Limerick",Limerick,159192.4986,155815.6038
291,Marian House,"Marian House, Congregation of the Holy Spirit, Kimmage Manor, Whitehall Road, Dublin 12 Dublin 12",Dublin,312720.3744,230036.7835
292,Marian House,"Marian House, Holy Faith Convent, Glasnevin, Dublin 11, Dublin 11",Dublin,314750.1963,237701.4679
293,Maryborough Nursing Home,"Maryborough Nursing Home, Maryborough Hill, Douglas, Cork, Cork",Cork,171711.7027,67833.20714
294,Maryfield Nursing Home,"Maryfield Nursing Home, Lucan Road, Chapelizod, Dublin 20, Dublin 20",Dublin,309940.8209,234534.314
295,Maryfield Nursing Home,"Maryfield Nursing Home, Farnablake East, Athenry, Galway, Galway",Galway,150332.9382,226868.6618
296,Marymount Care Centre,"Marymount Care Centre, Westmanstown, Lucan, Co. Dublin, Co. Dublin",Dublin,303766.4014,237004.2535
297,Maynooth Community Care Unit,"Maynooth Community Care Unit, Leinster Street, Maynooth, Co. Kildare, Kildare",Kildare,293692.7984,237662.3681
298,Maypark House Nursing Home,"Maypark House Nursing Home, Maypark Lane, Waterford, Waterford",Waterford,263325.3457,111323.6992
299,Meadowlands Nursing Home,"Meadowlands Nursing Home, Dunmore Road, Cloonfad, Co. Roscommon, Roscommon",Roscommon,150783.576,270267.9788
300,Meath Community Unit,"Meath Community Unit, 1-9 Heytesbury Street, Dublin 8, Dublin 8",Dublin,315220.5573,233056.2079
301,Melview Nursing Home,"Melview Nursing Home, Prior Park, Clonmel, Co. Tipperary, Tipperary",Tipperary,220047.4275,123020.3039
302,Middletown House Nursing Home,"Middletown House Nursing Home, Ardamine, Gorey, Wexford, Wexford",Wexford,318979.6452,151545.5802
303,Midleton Community Hospital,"Midleton Community Hospital, Midleton, Co. Cork, Cork",Cork,188156.8605,73491.91238
304,Milford Care Centre,"MILFORD DAY CARE CENTRE, PLASSEY PARK ROAD, CASTLETROY, LIMERICK",Limerick,161209.0679,157834.909
305,Mill Lane Manor Nursing Home,"Mill Lane Manor Nursing Home, Sallins Road, Naas, Co. Kildare, Kildare",Kildare,289087.2161,220152.2388
306,Mill Race Nursing Home,"Mill Race Nursing Home, Bridge Street, Ballinasloe, Co. Galway, Galway",Galway,185587.0908,231203.521
307,Millbrae Lodge Nursing Home,"Millbrae Lodge Nursing Home, Newport, Co. Tipperary, Tipperary",Tipperary,170939.5099,161954.3189
308,Millbury Nursing Home,"Millbury Nursing Home, Common's Road, Navan, Co. Meath, Meath",Meath,285880.0579,266604.4458
309,Millhouse Care Centre,"Millhouse Care Centre, Newtown Commons, New Ross, Co. Wexford, Wexford",Wexford,273761.2542,128267.4141
310,Moate Nursing Home,"Moate Nursing Home, Dublin Road, Moate, Co. Westmeath, Westmeath",Westmeath,220191.34,238471.883
311,Mont Vista,"Mont Vista, Retreat Road, Athlone, Co. Westmeath, Westmeath",Westmeath,205384.544,241386.9255
312,Mooncoin Residential Care Centre,"Mooncoin Residential Care Centre, Pollrone, Mooncoin, Co. Kilkenny, Kilkenny",Kilkenny,250679.5952,116103.1377
313,Moorehall Lodge Ardee,"Moorehall Lodge, Hale Street, Ardee, Co. Louth, Louth",Louth,296421.3732,290397.156
314,Moorehall Lodge Drogheda,"Moorehall Lodge, Drogheda, Dublin Road, Drogheda, Louth Louth",Louth,296459.438,290415.375
315,Mount Alvernia Hospital,"Mount Alvernia Hospital, Newberry, Mallow, Cork, Cork",Cork,152619.7467,95624.73058
316,Mount Cara,"Mount Cara, Redemption Road, Blackpool, Cork, Cork",Cork,167098.895,72846.135
317,Mount Carmel Nursing Home,"Mount Carmel Nursing Home, Abbey Street, Roscrea, Tipperary, Tipperary",Tipperary,213232.845,188984.667
318,Mount Carmel Supported Care Home,"Mount Carmel Supported Care Home, Prologue, Callan, Co. Kilkenny, Kilkenny",Kilkenny,241058.8997,143534.5078
319,Mount Hybla Nursing Home,"Mount Hybla Nursing Home, Farmleigh Woods, Castleknock, Dublin 15, Dublin 15",Dublin,309231.063,236521.797
320,Mount Tabor Nursing Home,"Mount Tabor Nursing Home and Care Centre, Sandymount Green, Sandymount, Dublin 4, Dublin 4",Dublin,318969.8541,232803.2579
321,Mountbellew Nursing Home,"Mountbellew Nursing Home, Mountbellew, Co. Galway, Galway",Galway,166913.6239,246724.6508
322,Mountpleasant Lodge,"Mountpleasant Lodge, Kilcock to Clane Road, Kilcock, Co. Kildare, Kildare",Kildare,286090.638,237522.9201
323,Moy Ridge Nursing Home,"Moyridge Nursing Home, Ridgepool Road, Ballina, Co. Mayo, Mayo",Mayo,124414.1417,318431.207
324,Moycullen Nursing Home,"Moycullen Nursing Home, Ballinahalla, Moycullen, Co. Galway, Galway",Galway,121863.5822,235152.5377
325,Moyglare Nursing Home,"Moyglare Nursing Home, Moyglare Road, Maynooth, Co. Kildare, Kildare",Kildare,293193.9128,238833.6239
326,Moyne Nursing Home,"Moyne Nursing Home, The Moyne, Enniscorthy, Co. Wexford, Wexford",Wexford,297156.8175,142398.3707
327,Mullinahinch House Private Nursing Home,"Mullinahinch House Private Nursing Home, Mullinahinch, Co. Monaghan, Monaghan",Monaghan,267070.5924,333647.2629
328,Mullross Nursing Home,"Mullross Nursing Home - Partnership, Kilclare, Carrick on 'Shannon, Leitrim",Leitrim,198943.109,306546.219
329,Mystical Rose Private Nursing Home,"Mystical Rose Nursing Home, Knockdoemor, Claregalway, Co. Galway, Galway",Galway,138650.8718,235993.5078
330,Nazareth House,"Fahan, Lifford, Co. Donegal",Donegal,233888.4324,426868.6664
331,Nazareth House,"Nazareth House, Malahide Road, Dublin 3, Dublin 3",Dublin,318193.6441,237201.6774
332,Nazareth House,"Nazareth House, Dromahane, Mallow, Co Cork, Cork",Cork,155589.3493,98620.1154
333,Nazareth Nursing Home,"Nazareth Nursing Home, Church Hill, Sligo, Sligo",Sligo,159573.9555,314108.062
334,Nenagh Manor Nursing Home,"Nenagh Manor Nursing Home, Yewston, Nenagh, Co. Tipperary, Tipperary",Tipperary,186118.546,178880.9793
335,New Houghton Hospital,"New Haughton Hospital, Hospital Road, New Ross, Co. Wexford, Wexford",Wexford,272276.552,126928.2241
336,New Lodge Nursing Home,"New Lodge Nursing Home, C/o Bloomfield Care Centre, Stocking Lane, Rathfarnham, Dublin 16 Dublin 16",Dublin,313128.9459,226205.3274
337,Newbrook Lodge Nursing Home,"Newbrook Lodge Nursing Home, Ballymahon Road, Mullingar, Co. Westmeath, Westmeath",Westmeath,241626.2258,252004.641
338,Newbrook Nursing Home,"Newbrook Nursing Home, Ballymahon Road, Mullingar, Co. Westmeath, Westmeath",Westmeath,241506.1365,251943.5925
339,Newpark Care Centre,"Newpark, The Ward, Co. Dublin, D11rw27",Dublin,310846.8136,245628.719
340,Newtownpark House,"Newtownpark House, Newtownpark Avenue, Blackrock, Co. Dublin, Co. Dublin",Dublin,321713.3353,227811.987
341,Nightingale Nursing Home,"Nightingale Nursing Home, Lowville, Ahascragh, Ballinasloe, Co. Galway Galway",Galway,177690.6427,237866.1758
342,Northbrook Nursing Home,"Northbrook House, 26 Northbrook Road, Ranelagh, Dublin 6, Dublin 6",Dublin,316323.5029,232481.0682
343,Norwood Grange,"Norwood Grange, Ballinora, Waterfall, Cork, Cork",Cork,160012.4612,68024.85275
344,O'Gorman Home,"O'Gorman Home, Castle Street, Ballyragget, Co. Kilkenny, Kilkenny",Kilkenny,244855.1668,170768.4916
345,Oak View Nursing Home,"Oak View Nursing Home, The Commons, Belturbet, Co. Cavan, Cavan",Cavan,238301.475,313315.779
346,Oakdale Nursing Home,"Oakdale Nursing Home, Kilmalogue, Gracefield, Portarlington, Co. Offaly Offaly",Offaly,251739.3656,213353.8261
347,Oakfield Nursing Home,"Oakfield Nursing Home, Courtown, Gorey, Co. Wexford, Wexford",Wexford,319773.0709,156193.7578
348,Oaklands Nursing home,"Oaklands Nursing Home, Derry, Listowel, Co. Kerry, Kerry",Kerry,103591.89,137650.0852
349,Oaklodge Nursing Home,"Oaklodge Nursing Home, Churchtown South, Cloyne, Co. Cork, Cork",Cork,194310.0971,63894.28182
350,Oakwood Nursing Home,"Oakwood Private Nursing Home, Circular Road, Ballaghaderreen, Co. Roscommon, Roscommon",Roscommon,162049.9523,294725.3864
351,Oakwood Nursing Home,"Oakwood Private Nursing Home, Hawthorne Drive, Roscommon Town, Co. Roscommon, Roscommon",Roscommon,188924.2069,264423.1325
352,Ocean View Retirement and Nursing Home,"Ocean View Retirement and Nursing Home, Knockglassmore, Camp, Tralee, Co. Kerry Kerry",Kerry,70591.84026,109800.7471
353,Oghill Nursing Home,"Oghill Nursing Home, Oghill, Monasterevin, Co. Kildare, Kildare",Kildare,266892.2628,208969.565
354,Oranmore Nursing Home,"Oranmore Nursing Home, Bushfield, Oranmore, Galway, Galway",Galway,140992.5337,225209.6778
355,Oriel House,"Oriel House, St. Davnet's Complex, Rooskey, Monaghan, Monaghan",Monaghan,266843.6929,333788.45
356,Orwell House Nursing Home,"Orwell House Nursing Home, 112 Orwell Road, Rathgar, Dublin 6, Dublin 6",Dublin,315661.0769,229726.9459
357,Ospideal Pobail Chorca Dhuibhne (West Kerry Community Hospital),"BÃ³thar an Phoist, Daingean UÃ­ ChÃºis, Co. ChiarraÃ­",Kerry,44802.64137,101166.1861
358,Otharlann Pobail an ChlochÃ¡in Leith,"BÃ³thar Ghaoth Dobhair, An ClochÃ¡n Liath, Co. DÃºn na nGall.",Donegal,176902.259,411402.2581
359,Oughterard Manor,"Oughterard Manor, Oughterard, Co Galway, Galway",Galway,112259.036,243046.938
360,Our Lady of Consolation Nursing Home,"Our Lady of Consolation Nursing Home, Arden Road, Tullamore, Co. Offaly, Offaly",Offaly,233873.874,225170.4215
361,Our Lady of Fatima Home,"Our Lady of Fatima Home, Oakpark Road, Tralee, Co. Kerry, Kerry",Kerry,85047.55318,115779.8671
362,Our Lady of Lourdes Care Facility,"Our Lady of Lourdes Care Facility, Kilcummin Village, Killarney, Co. Kerry, Kerry",Kerry,99812.85717,89657.67366
363,Our Lady's Hospice and Care Services,"Our Lady's Hospice and Care Services, Harold's Cross, Dublin 6W, Dublin 6w",Dublin,314560.5691,232050.1806
364,Our Lady's Manor Nursing Home,"Our Lady's Manor Nursing Home, Dublin Road, Edgeworthstown, Longford, Longford",Longford,225970.5601,271284.0962
365,Padre Pio House Nursing Home,"Padre Pio House Nursing Home, Churchtown, Mallow, Co. Cork, Cork",Cork,150197.0455,113575.9128
366,Padre Pio Nursing Home,"Padre Pio Nursing Home, Holycross, Thurles, Co. Tipperary, Tipperary",Tipperary,209503.68,154142.4243
367,Padre Pio Nursing Home,"Padre Pio Nursing Home, Sunnyside, Upper Rochestown, Cork, Cork",Cork,174579.2841,68437.03025
368,Padre Pio Nursing Home,"Padre Pio Nursing Home, 50 / 51A Cappaghmore, Clondalkin, Dublin 22, Dublin 22",Dublin,306251.7967,232159.8464
369,Padre Pio Rest Home,"Padre Pio Rest Home, Cappoquin, Co. Waterford, Waterford",Waterford,210228.5671,99470.32677
370,Parke House Nursing Home,"Parke House Nursing Home, Kilcock, Co. Kildare, Kildare",Kildare,286421.3597,240632.3172
371,Patterson's Nursing Home,"Patterson's Nursing Home, Lismackin, Roscrea, Co. Tipperary, Tipperary",Tipperary,213570.2025,183238.7317
372,Peamount Hospital,"Peamount Hospital, Newcastle, Co. Dublin, Co. Dublin",Dublin,301716.3965,230793.7619
373,Phoenix Park Community Nursing Units,"Phoenix Park Community Nursing Units, St. Mary's Hospital, Phoenix Park, Dublin 20, Dublin 20",Dublin,310798.9058,234636.901
374,Pilgrims Rest Nursing Home,"Pilgrim's Rest Nursing Home, Barley Hill, Westport, Co. Mayo, Mayo",Mayo,98074.11314,286555.6838
375,Plunkett Community Nursing Unit,"Plunkett Community Nursing Unit, Elphin Street, Boyle, Co. Roscommon, Roscommon",Roscommon,180156.8728,302209.2516
376,Portiuncula Nursing Home,"Portiuncula Nursing Home, Multyfarnham, Mullingar, Co. Westmeath, Westmeath",Westmeath,240260.198,264450.5082
377,Portumna Retirement Village,"Portumna Retirement Village, St. Brendan's Road, Portumna, Co. Galway, Galway",Galway,184883.9876,204977.9251
378,Powdermill Nursing Home,"Powdermill Nursing Home, Gunpowder Mill, Ballincollig, Co. Cork, Cork",Cork,159302.9301,71296.59192
379,Queen of Peace Centre,"Queen of Peace Centre, Garville Avenue, Rathgar, Dublin 6, Dublin 6",Dublin,316200.6766,232647.183
380,Queen of Peace Nursing Home,"Queen of Peace Nursing Home, Churchfield, Knock, Co. Mayo, Mayo",Mayo,139130.5018,282433.0254
381,Raheen Community Hospital,"Raheen Community Hospital, Tuamgraney, Scariff, Ennis, Co. Clare Clare",Clare,165902.9712,182661.2637
382,Raheny Community Nursing Unit,"Raheny Community Nursing Unit, Harmonstown Road, Raheny, Dublin 5, Dublin 5",Dublin,320788.7665,238545.3532
383,Raheny House Nursing Home,"Raheny House Nursing Home, Raheny House, 476 Howth Road, Raheny, Dublin 5 Dublin 5",Dublin,321093.8923,238062.9026
384,Ramelton Community Hospital,"Ramelton Community Hospital, Ramelton, Letterkenny, Co. Donegal, Donegal",Donegal,222827.5196,421287.5879
385,Rathkeevan Nursing Home,"Rathkeevan Nursing Home, Rathkeevan, Clonmel, Co. Tipperary, Tipperary",Tipperary,214971.8034,124542.1847
386,Ratoath Manor Nursing Home,"Ratoath Manor Nursing Home, Ratoath, Co. Meath, Meath",Meath,302189.5655,251805.427
387,Regina House Community Nursing Unit,"Regina House Community Nursing Unit, Kilrush, Co. Clare, Clare",Clare,99535.63746,155664.2672
388,Residential Care Home Unit 5 & Unit 6 (Merlin Park Hospital),"Residential Care Home Unit 5 & Unit 6 (Merlin Park Hospital), Dublin Road, Galway, Galway",Galway,133723.0511,225612.9357
389,Retreat Nursing Home,"Retreat Nursing Home, Loughandonning, Bonnavalley, Athlone, Westmeath Westmeath",Westmeath,205584.5416,241122.5225
390,Riada House Community Nursing Unit,"Riada House Community Nursing Unit, Arden Road, Tullamore, Co. Offaly, Offaly",Offaly,233873.874,225170.4215
391,Riverdale House,"Riverdale House, Blackwater, Ardnacrusha, Co. Clare, Clare",Limerick,157200.8556,156822.927
392,Riverdale Nursing Home,"Riverdale Nursing Home, Laragh, Ballon, Co. Carlow, Carlow",Carlow,282747.8706,164442.9124
393,Riverside Nursing Home,"Riverside Nursing Home, Toberburr Road, St. Margarets, Co. Dublin, Co. Dublin",Dublin,312918.8948,243705.2844
394,Riverside Nursing Home,"Riverside Care Centre, Milltown, Abbeydorney, Tralee, Co. Kerry Kerry",Kerry,84350.84285,122645.6487
395,Rivervale Nursing Home,"Rivervale Nursing Home, Old Birr Road, Nenagh, Co. Tipperary, Tipperary",Tipperary,187267.6919,179983.8884
396,Rochestown Nursing Home,"Rochestown Nursing Home, Monastery Road, Rochestown, Co. Cork, Cork",Cork,174527.456,68417.02428
397,Rockshire Care Centre,"Rockshire Care Centre, Rockshire Road, Ferrybank, Co. Waterford, Waterford",Kilkenny,260601.1625,113576.6659
398,Ros Aoibhinn,"Ros Aoibhinn Nursing Home, Irish Street, Bunclody, Co. Wexford, Wexford",Wexford,291227.3246,156704.9753
399,Rosary Hill House Nursing Home,"Rosary Hill House Nursing Home, Stradbally, Castleconnell, Co. Limerick, Limerick",Limerick,157200.8556,156822.927
400,Rosedale Residential Home,"Rosedale Residential Home, Upper Kilmacow, Co. Kilkenny, Kilkenny",Kilkenny,255298.2805,117536.7427
401,Roselodge Nursing Home,"Roselodge Nursing Home, Killucan, Co. Westmeath, Westmeath",Westmeath,256812.9931,251692.7527
402,Rosemount House Nursing Home,"Rosemount Nursing Home, Garrabeg Road, Church Street, Gort, Co. Galway Galway",Galway,144820.0248,202033.7725
403,Rosenalee Care Centre Ltd.,"Rosenalee Care Centre, Poulavone, Ballincollig, Co. Cork, Cork",Cork,160224.6728,70925.99494
404,Roseville House Nursing Home,"Roseville House Nursing Home, Killonan, Ballysimon, Limerick, Limerick",Limerick,157200.8556,156822.927
405,Roseville Nursing Home,"Roseville Nursing Home, 49 Meath Road, Bray, Co. Wicklow, Wicklow",Wicklow,327038.3857,218202.9739
406,Royal Hospital Donnybrook,"Royal Hospital Donnybrook, Morehampton Road, Donnybrook, Dublin 4, Dublin 4",Dublin,317166.6928,232042.2817
407,Rush Nursing Home,"Rush Nursing Home, Kenure, Skerries Road, Rush, Co.Dublin Co. Dublin",Dublin,326293.8863,255016.0523
408,Rushmore Nursing Home,"Rushmore Nursing Home, Knocknacarra, Galway, Galway",Galway,126095.5838,223944.6439
409,Ryevale Nursing Home,"Ryevale Nursing Home, Ryevale Mill, Leixlip, Co. Kildare, Kildare",Kildare,299847.2559,236384.0182
410,Sacred Heart Hospital,"Sacred Heart Hospital, Old Dublin Road, Carlow, Carlow",Carlow,272192.1955,177061.1922
411,Sacred Heart Hospital,"Sacred Heart Hospital, Pontoon Road, Castlebar, Co. Mayo, Mayo",Mayo,117778.8296,295284.9518
412,Sacred Heart Hospital Roscommon,"Sacred Heart Hospital, Golf Link Road, Roscommon, Roscommon",Roscommon,187714.5275,263212.3091
413,Sacred Heart Nursing Home,"Sacred Heart Nursing Home, Crosspatrick, Johnstown, Co. Kilkenny, Kilkenny",Kilkenny,226843.5538,169078.8243
414,Sacred Heart Residence,"Sacred Heart Residence, Sybil Hill Road, Raheny, Dublin 5, Dublin 5",Dublin,320179.8085,237322.8341
415,Sacred Hearts Nursing Home,"Sacred Hearts Nursing Home, Roslea Road, Clones, Co. Monaghan, Monaghan",Monaghan,267070.5924,333647.2629
416,SacrÃ© Coeur Nursing Home,"SacrÃ© Coeur Nursing Home, Station Road, Tipperary Town, Tipperary Town, Tipperary",Tipperary,189138.5712,135247.4283
417,Sally Park Nursing Home,"Sally Park Nursing Home, Sally Park Close, Firhouse, Dublin 24, Dublin 24",Dublin,311231.4301,227380.4064
418,San Remo Nursing Home,"San Remo Nursing Home, 14/ 15 Sidmonton Road, Bray, Wicklow, Wicklow",Wicklow,326880.1921,218210.7966
419,Sancta Maria,"Sancta Maria, Gallow's Hill, Cratloe, Co. Clare, Clare",Clare,148219.6017,161556.8515
420,Sancta Maria Nursing Home,"Sancta Maria Nursing Home, Parke, Kinnegad, Co. Meath, Meath",Meath,261511.7922,241931.191
421,Santa Sabina House,"Santa Sabina House, Dominican Sisters, Navan Road, Cabra, Dublin 7 Dublin 7",Dublin,312184.6733,236728.1414
422,Seanchara Community Unit,"Seanchara Community Unit, St. Canice's Road, Glasnevin, Dublin 11, Dublin 11",Dublin,315003.3977,238451.5636
423,Shalom Nursing Home,"Shalom Nursing Home, Presentation Convent, Kilcock, Co. Klidare, Kildare",Kildare,288494.7665,239872.4189
424,Shannagh Bay Nursing Home,"Shannagh Bay Nursing Home, Strand Road, Bray, Co. Wicklow, Wicklow",Wicklow,327123.7686,218439.0615
425,Shannon Lodge Nursing Home,"Shannon Lodge Nursing Home, Rooskey, Co. Roscommon, Roscommon",Roscommon,197129.5925,242779.1315
426,Sheelin Nursing Home,"Sheelin Nursing Home, Tonagh, Mountnugent, Co. Cavan, Cavan",Cavan,241834.6492,304556.9014
427,Shrewsbury House Nursing Home,"Shrewsbury House Nursing Home, 164 Clonliffe Road, Drumcondra, Dublin 3, Dublin 3",Dublin,316386.2356,236125.1781
428,Silvergrove Nursing Home,"Silvergrove Nursing Home, Main Street, Clonee, Co. Meath, Meath",Meath,303077.3381,241738.5769
429,Simpsons Hospital,"Simpson's Hospital, Ballinteer Road, Dundrum, Dublin 16, Dublin 16",Dublin,316904.7047,227564.8737
430,Skibbereen Community Hospital,"Skibbereen Community Hospital, Coolnagarrane, Skibbereen, Co. Cork, Cork",Cork,112412.1825,35098.87684
431,Skibbereen Residential Care Centre,"Skibbereen Residential Care Centre, Baltimore Road, Skibbereen, Co. Cork, Cork",Cork,112005.9394,32956.0694
432,Sligo Nursing Home,"Mowlam Nursing Home, Ballytivnan, Sligo, Sligo",Sligo,169456.99,337237.257
433,Sonas Care Centre,"Sonas Care Centre, Cloverhill, Roscommon, Roscommon",Roscommon,161435.9668,295518.3129
434,Sonas Care Centre Ard na Greine,"Sonas Care Centre Ard na Greine, Enniscrone, Co. Sligo, Sligo",Sligo,128443.8823,329564.3898
435,"Sonas Care Centre, Cloghanboy","Sonas Care Centre, Cloghanboy, Ballymahon Road, Athlone, Westmeath Westmeath",Westmeath,205346.4603,242266.2523
436,St Anne's Private Nursing Home,"St. Anne's Nursing Home, Sonnagh, Charlestown, Co. Mayo, Mayo",Mayo,145593.7388,301076.0211
437,St Brigid's Inchicore,"St Brigid's Inchicore, Rear of Bulfin Court, Inchicore, Dublin 8",Dublin,312198.344,233402.094
438,St Camillus Nursing Centre,"St Camillus Nursing Centre, Killucan, Westmeath, Westmeath",Westmeath,256952.5338,251927.3797
439,St Columban's Retirement Home,"St. Columban's Retirement Home, Dalgan Park, Navan, Co. Meath, Meath",Meath,290829.3872,263165.5579
440,St Eithne's Rest Care Centre,"St. Eithne's Rest Care Centre, Corbally, Tulsk, Castlerea, Roscommon Roscommon",Roscommon,184059.083,280695.5777
441,St. Anne's Community Nursing Home,"St. Anne's Community Nursing Home, Westport Road, Clifden, Co. Galway, Galway",Galway,65628.63054,251117.3017
442,St. Anthony's Nursing Home,"St. Anthony's Nursing Home, Kilduff Castle, Pallasgreen, Co. Limerick, Limerick",Limerick,177601.0896,145971.8969
443,St. Anthonyâs Nursing Home,"St. Anthonyâs Nursing Home, Church Street, Balbriggan, Co. Dublin",Dublin,320425.4481,263622.4496
444,St. Attracta's Nursing Home,"St. Attracta's Nursing Home, Hagfield, Charlestown, Co. Mayo, Mayo",Mayo,147844.4147,298789.86
445,St. Augustine's Community Nursing Unit,"St. Augustine's Community Nursing Unit, Cathedral Road, Ballina, Co. Mayo, Mayo",Mayo,124797.2972,318861.8216
446,St. Brendan's High Support Unit,"St. Brendan's High Support Unit, Mulranny, Westport, Mayo, Mayo",Mayo,83751.58877,296809.1215
447,St. Brendan's Home,"St. Brendan's Home, Lake Road, Loughrea, Co. Galway, Galway",Galway,162296.5505,215624.8248
448,St. Brigid's Home,"St. Brigid's Nursing Home, Crooksling, Brittas, Co. Dublin, Co. Dublin",Dublin,302775.8735,223579.1427
449,St. Brigid's Hospital,"St. Brigid's Hospital, Shaen, Portlaoise, Co. Laois, Laois",Laois,250230.2936,203293.6706
450,St. Camillus Community Hospital,"St. Camillus Community Hospital, Shelbourne Road, Limerick, Limerick",Limerick,156692.6495,157955.7643
451,St. Carthage's House,"St. Carthage's House, Lismore, Co. Waterford, Waterford",Waterford,204692.713,97684.10916
452,St. Catherine's Nursing Home,"St. Catherine's Nursing Home, Bothar BuÃ­, Newcastlewest, Co. Limerick, Limerick",Limerick,128068.7511,133395.2019
453,St. Catherine's Nursing Home,"St. Catherine's Nursing Home, Freshford, Co. Kilkenny, Kilkenny",Kilkenny,240612.5378,164757.6204
454,St. Clair's Nursing Home,"St. Clair's Nursing Home, Ballinderry, Mullingar, Co. Westmeath, Westmeath",Westmeath,243669.2987,251936.4581
