_id,Service name,Address,County,ig_xcord,ig_ycord
103,Carechoice Dungarvan,"Carechoice Dungarvan, The Burgery, Dungarvan, Co. Waterford, Waterford",Waterford,260700.0994,112615.0896
104,Carechoice Macroom,"Carechoice Macroom, Gurteenroe, Macroom, Co. Cork, Cork",Cork,132880.059,73201.38279
105,Carechoice Montenotte,"Carechoice Montenotte, Middle Glanmire Road, Montenotte, Cork, Cork",Cork,169568.1418,72769.03989
106,Carlford Nursing Home,"Carlford Nursng Home, Cloughban, Clonroche, Enniscorthy, Co. Wexford Wexford",Wexford,286957.9947,134971.3336
107,Carlingford Nursing Home,"Carlingford Nursing Home, Old Dundalk Road, Carlingford, Co. Louth, Louth",Louth,319143.8051,310750.9838
108,Carndonagh Community Hospital,"Carndonagh Community Hospital, Convent Road, Carndonagh, Co. Donegal, Donegal",Donegal,246965.154,445169.8874
109,Carrigoran House,"Carrigoran House, Newmarket-on-Fergus, Co. Clare, Clare",Clare,138537.2673,167108.456
110,Carthage Nursing Home,"Carthage Nursing Home, Mucklagh, Tullamore, Co. Offaly, Offaly",Offaly,233873.874,225170.4215
111,Carysfort Nursing Home,"Arkendale Road, Glenageary, Co. Dublin, A96w566",Dublin,325502.8716,227197.1279
112,Castle Gardens Nursing Home,"Castle Gardens Nursing Home, Drumgoold, Enniscorthy, Wexford, Wexford",Wexford,299105.3856,138802.2218
113,Castlecomer District Hospital,"Castlecomer District Hospital, Castlecomer, Co. Kilkenny, Kilkenny",Kilkenny,253251.8102,172957.5006
114,Castlemanor Nursing Home,"Castlemanor Nursing Home, Billis, Drumalee, Co. Cavan, Cavan",Cavan,243072.5929,305693.3702
115,Castleross Nursing and Convelescent Centre,"Castleross Nursing and Convalescent Centre, Castleross, Carrickmacross, Co. Monaghan, Monaghan",Monaghan,267070.5924,333647.2629
116,Castletownbere Community Hospital,"Castsletownbere Community Hospital, Castletownbere, Co. Cork, Cork",Cork,67771.90658,46498.3437
117,Castleturvin House Nursing Home,"Castleturvin House Nursing Home, Athenry, Co. Galway, Galway",Galway,149134.7737,225617.078
118,Catherine McAuley House,"Catherine McAuley House, Old Dominic Street, Limerick, Limerick",Limerick,157641.362,156711.1415
119,Catherine McAuley House,"Catherine McAuley House, Beaumont Woods, Beaumont, Dublin 9, Dublin 9",Dublin,317800.4456,238897.7353
120,Cedar House Nursing Home,"Cedar House, 35 Mount Anville Park, Dublin 14, D14f240",Dublin,318606.2346,228367.8109
121,Central Park Nursing Home,"Central Park Nursing Home, Clonberne, Ballinasloe, Co. Galway, Galway",Galway,157179.7803,256722.9234
122,Cherry Grove Nursing Home,"Cherry Grove Nursing Home, Priesthaggard, Campile, New Ross, Co. Wexford Wexford",Wexford,270261.2675,117633.5867
123,Cherry Orchard Hospital,"Cherry Orchard Hospital, Ballyfermot, Dublin 10, Dublin 10",Dublin,309253.3712,234096.3651
124,Cherryfield Lodge Nursing Home,"Milltown Park, Dublin 6",Dublin,316860.5026,231112.9006
125,Cherryfield Nursing Home,"Cherryfield Nursing Home, Ballygarret, Gorey, Co. Wexford, Wexford",Wexford,320310.3222,148536.4109
126,Cherryfields Housing with Care,"Cherryfields Housing with Care, 2D Cherryfields Lawn, Hartstown, Clonsilla, Dublin 15 Co. Dublin",Dublin,305064.844,239212.047
127,Churchview Nursing Home,"Churchview Nursing Home, 59/61 New Cabra Road, Phibsboro, Dublin 7, Dublin 7",Dublin,314451.211,235878.4061
128,Clarehaven Home,"Clarehaven Home, St. Canice's Road, Glasnevin, Dublin 11, Dublin 11",Dublin,315282.1263,238384.228
129,Claremount Nursing Home,"Claremount Nursing Home, Claremount, Claremorris, Co. Mayo, Mayo",Mayo,134517.6351,276203.5461
130,Cloghran Nursing Home,"Cloghran Nursing Home, Stockhole Lane, Cloghran, Co Dublin, Co. Dublin",Dublin,318793.031,242854.141
131,Clonakilty Community Hospital,"Clonakilty Community Hospital, Clonakilty, Co. Cork, Cork",Cork,138743.309,41558.42098
132,Clonskeagh Hospital,"Clonskeagh Hospital, Clonskeagh Road, Dublin 6, Dublin 6",Dublin,317299.7817,230936.0501
133,Clontarf Private Nursing Home,"Clontarf Private Nursing Home, 5 - 7 Clontarf Road, Clontarf, Dublin 3, Dublin 3",Dublin,318881.8334,236035.6633
134,Clover Lodge Nursing Home Shinrone,"Main Street, Shinrone, Birr, Co. Offaly, R42ea34",Offaly,205039.1885,192509.0309
135,Cloverlodge Nursing Home Athy,"Moneen Lane, Athy, Co. Kildare, R14dd43",Kildare,268398.4695,194557.3129
136,Cluain Arann Welfare Home,"Cluain Arann Welfare Home, Avondale Crescent, Tipperary Town, Tipperary, Tipperary",Tipperary,189426.4917,136102.442
137,Cluain Lir Community Nursing Unit,"Cluain Lir Community Nursing Unit, Longford Road, Mullingar, Westmeath, Westmeath",Westmeath,243215.281,253904.984
138,Cobh Community Hospital,"Cobh Community Hospital, Cobh, Co. Cork, Cork",Cork,179419.484,66968.9451
139,Cois Abhainn Residential Centre,"Cois Abhainn Residential Centre, Greencloyne, Youghal, Co. Cork, Cork",Cork,209608.312,78807.63587
140,College View Nursing Home,"College View Nursing Home, Clones Road, Cavan, Co. Cavan, Cavan",Cavan,241834.1851,304557.4537
141,Community Hospital New Ross,"Community Hospital, Hospital Road, New Ross, Co. Wexford, Wexford",Wexford,272276.552,126928.2241
142,Community Hospital of the Assumption,"Community Hospital of the Assumption, Thurles, Co. Tipperary, Tipperary",Tipperary,211893.8167,159415.2131
143,Community Nursing Unit Abbeyleix,"Community Nursing Unit Abbeyleix, Abbeyleix, Co. Laois, Laois",Laois,243777.9427,184902.5467
144,Community Nursing Unit Ballymote,"Community Nursing Unit, Ballymote, Co. Sligo, Sligo",Sligo,166234.0965,315689.5008
